#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
7014171|2016-08-07T12:57:09.000000|38.4117|15.276|128.9|SURVEY-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
7014201|2016-08-07T12:58:48.040000|42.9048|13.0667|10.5|SURVEY-INGV||||ML|2.0|--|Macerata
7014901|2016-08-07T18:00:45.180000|37.1258|15.2952|9.7|SURVEY-INGV||||ML|2.0|--|Costa Siracusana (Siracusa)
7015471|2016-08-08T01:57:35.530000|43.383|13.9692|34.0|SURVEY-INGV||||ML|2.2|--|Costa Marchigiana Fermana (Fermo)
7015741|2016-08-08T05:44:03.540000|39.27|17.0737|16.2|SURVEY-INGV||||ML|2.1|--|Crotone
7017091|2016-08-08T13:55:20.690000|42.8847|13.0245|9.9|SURVEY-INGV||||ML|2.1|--|Perugia
7017201|2016-08-08T13:59:47.030000|42.8918|13.0263|10.9|SURVEY-INGV||||ML|2.1|--|Perugia
7018381|2016-08-08T18:44:23.810000|43.0613|13.5128|34.5|SURVEY-INGV||||ML|2.2|--|Fermo
7018651|2016-08-08T23:16:18.950000|38.4005|15.4438|124.5|SURVEY-INGV||||ML|2.5|--|Tirreno Meridionale (MARE)
7020541|2016-08-09T13:51:51.070000|46.4978|13.1863|9.4|SURVEY-INGV||||ML|2.0|--|Udine
7020671|2016-08-09T14:22:17.500000|38.9742|15.6568|172.9|SURVEY-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
7021211|2016-08-09T17:21:56.970000|42.4687|13.308|11.1|SURVEY-INGV||||ML|2.1|--|L'Aquila
7021651|2016-08-09T19:52:53.670000|41.7832|14.8805|21.4|BULLETIN-INGV||||Mw|3.5|--|Campobasso
7022001|2016-08-10T00:17:54.560000|36.7563|14.9402|10.0|SURVEY-INGV||||ML|2.1|--|Ragusa
7022131|2016-08-10T02:38:05.180000|46.3958|12.967|6.4|SURVEY-INGV||||ML|3.0|--|Udine
7022381|2016-08-10T04:52:47.660000|46.3858|12.9393|10.7|SURVEY-INGV||||ML|3.1|--|Udine
7022811|2016-08-10T06:47:28.120000|38.3817|15.383|115.9|SURVEY-INGV||||ML|2.3|--|Costa Siciliana nord-orientale (Messina)
7024661|2016-08-10T16:23:30.640000|44.3375|11.0132|17.2|SURVEY-INGV||||ML|2.3|--|Modena
7024751|2016-08-10T16:46:33.650000|44.3322|10.9873|18.8|SURVEY-INGV||||ML|2.5|--|Modena
7024811|2016-08-10T16:50:18.560000|44.3363|11.0377|22.2|SURVEY-INGV||||ML|2.1|--|Modena
7024901|2016-08-10T16:54:02.160000|44.3655|11.0763|26.6|SURVEY-INGV||||ML|2.0|--|Bologna
7025021|2016-08-10T17:11:38.820000|44.3538|11.0247|27.3|SURVEY-INGV||||ML|2.2|--|Modena
7025181|2016-08-10T17:28:38.760000|44.3777|11.084|27.8|SURVEY-INGV||||ML|2.2|--|Bologna
7025211|2016-08-10T17:33:18.870000|44.3422|11.0313|21.5|SURVEY-INGV||||ML|2.1|--|Modena
7025361|2016-08-10T18:27:00.430000|44.4647|10.9868|28.8|SURVEY-INGV||||ML|2.2|--|Modena
7025411|2016-08-10T18:28:06.340000|44.3447|11.011|18.4|SURVEY-INGV||||ML|2.2|--|Modena
7025441|2016-08-10T18:29:46.420000|44.3562|11.0152|25.9|SURVEY-INGV||||ML|2.3|--|Modena
7025491|2016-08-10T18:33:17.760000|44.3493|11.0063|16.1|SURVEY-INGV||||ML|2.3|--|Modena
7025721|2016-08-10T22:08:42.430000|44.371|11.0038|17.3|SURVEY-INGV||||ML|2.1|--|Modena
7025781|2016-08-10T22:18:46.530000|44.3397|11.0275|22.7|SURVEY-INGV||||ML|2.2|--|Modena
7026021|2016-08-11T03:25:05.910000|44.3072|10.9783|9.7|SURVEY-INGV||||ML|2.3|--|Bologna
7026451|2016-08-11T05:42:26.050000|38.5795|16.0683|9.2|SURVEY-INGV||||ML|3.0|--|Vibo Valentia
7028411|2016-08-11T19:49:42.840000|38.5673|16.0842|10.4|SURVEY-INGV||||ML|2.1|--|Vibo Valentia
7028691|2016-08-11T22:52:19.060000|37.8902|12.8283|24.2|SURVEY-INGV||||ML|2.3|--|Trapani
7028861|2016-08-12T01:55:47.490000|38.4132|14.8578|13.0|SURVEY-INGV||||ML|2.3|--|Isole Eolie (Messina)
7028881|2016-08-12T02:12:59.300000|38.4245|14.8687|13.7|SURVEY-INGV||||ML|2.3|--|Isole Eolie (Messina)
7030271|2016-08-12T11:43:15.250000|38.4387|15.355|105.8|SURVEY-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
7032331|2016-08-13T01:15:28.220000|38.4828|15.4887|128.3|SURVEY-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
7032381|2016-08-13T02:05:18.420000|43.6082|12.3443|9.6|SURVEY-INGV||||ML|2.1|--|Pesaro e Urbino
7033911|2016-08-13T13:33:08.450000|38.4215|13.4577|16.8|SURVEY-INGV||||ML|2.7|--|Costa Siciliana centro-settentrionale (Palermo)
7034031|2016-08-13T14:17:32.020000|38.4832|14.4888|9.6|SURVEY-INGV||||ML|2.7|--|Isole Eolie (Messina)
7035031|2016-08-13T19:43:38.650000|45.4207|5.4935|10.0|SURVEY-INGV||||ML|2.5|--|France
7035421|2016-08-13T23:49:28.460000|38.237|15.4835|61.1|SURVEY-INGV||||ML|2.2|--|Messina
7035781|2016-08-14T05:58:26.090000|38.9088|15.1663|308.0|SURVEY-INGV||||ML|3.2|--|Tirreno Meridionale (MARE)
7037871|2016-08-14T22:10:11.710000|38.4338|15.4207|116.6|SURVEY-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
7039281|2016-08-15T10:06:04.280000|37.3823|16.2865|10.0|SURVEY-INGV||||ML|2.3|--|Mar Ionio Meridionale (MARE)
7041301|2016-08-15T19:51:35.180000|40.7543|15.2533|8.9|SURVEY-INGV||||ML|2.0|--|Salerno
7043801|2016-08-16T11:39:33.800000|43.3578|12.7838|48.7|SURVEY-INGV||||ML|2.7|--|Perugia
7044011|2016-08-16T12:46:54.460000|44.1202|12.0637|28.6|SURVEY-INGV||||ML|2.0|--|Forli'-Cesena
7045231|2016-08-16T19:42:05.670000|42.8363|13.0307|10.1|SURVEY-INGV||||ML|2.1|--|Perugia
7047211|2016-08-17T10:52:05.400000|36.0938|14.8358|10.0|SURVEY-INGV||||ML|3.5|--|Canale di Sicilia meridionale (MARE)
7047501|2016-08-17T12:26:44.270000|40.5417|19.6492|18.8|SURVEY-INGV||||ML|3.5|--|Albania
7049361|2016-08-17T22:00:52.740000|40.9542|19.7452|10.0|SURVEY-INGV||||ML|2.6|--|Costa Albanese settentrionale (ALBANIA)
7049931|2016-08-18T05:30:42.990000|38.1007|15.1585|9.3|SURVEY-INGV||||ML|2.2|--|Messina
7052901|2016-08-18T18:05:08.860000|38.6053|15.5208|157.6|SURVEY-INGV||||ML|2.3|--|Tirreno Meridionale (MARE)
7053791|2016-08-19T01:33:11.170000|39.4948|16.5315|27.6|SURVEY-INGV||||ML|2.1|--|Cosenza
7054401|2016-08-19T06:42:15.330000|38.4995|12.2842|17.4|SURVEY-INGV||||ML|3.4|--|Tirreno Meridionale (MARE)
7054601|2016-08-19T07:20:25.010000|38.5202|12.2412|23.0|SURVEY-INGV||||ML|2.9|--|Tirreno Meridionale (MARE)
7055761|2016-08-19T13:23:30.910000|38.4873|12.2562|24.9|SURVEY-INGV||||ML|2.7|--|Tirreno Meridionale (MARE)
7056191|2016-08-19T16:41:52.000000|44.0263|11.8343|32.6|SURVEY-INGV||||ML|2.1|--|Forli'-Cesena
7057221|2016-08-19T22:42:35.170000|38.7563|15.5843|156.7|SURVEY-INGV||||ML|2.3|--|Tirreno Meridionale (MARE)
7058641|2016-08-20T07:10:23.280000|43.2178|14.2407|33.2|SURVEY-INGV||||Md|2.2|--|Costa Marchigiana Fermana (Fermo)
7059021|2016-08-20T09:00:20.890000|38.8775|15.9503|52.2|SURVEY-INGV||||ML|2.7|--|Costa Calabra sud-occidentale (Catanzaro, Vibo Valentia, Reggio di Calabria)
7061521|2016-08-20T21:47:28.960000|43.2127|14.165|11.1|SURVEY-INGV||||ML|2.3|--|Costa Marchigiana Fermana (Fermo)
7065241|2016-08-21T21:27:42.500000|37.8767|16.0145|36.2|SURVEY-INGV||||ML|2.3|--|Costa Calabra sud-orientale (Reggio di Calabria)
7065831|2016-08-22T02:48:59.540000|42.0158|15.2377|11.0|SURVEY-INGV||||ML|2.1|--|Costa Garganica (Foggia)
7065991|2016-08-22T05:05:30.390000|44.3053|11.8803|23.1|SURVEY-INGV||||ML|2.1|--|Ravenna
7066261|2016-08-22T06:49:41.610000|44.2935|11.8352|21.4|SURVEY-INGV||||ML|2.4|--|Ravenna
7068961|2016-08-22T21:36:14.550000|42.5283|13.2543|10.8|SURVEY-INGV||||ML|2.2|--|L'Aquila
7070051|2016-08-23T06:56:08.410000|37.8697|14.1017|6.2|SURVEY-INGV||||ML|2.4|--|Palermo
7070381|2016-08-23T08:37:39.590000|40.8757|15.688|10.0|SURVEY-INGV||||ML|2.1|--|Potenza
7070481|2016-08-23T08:59:06.450000|38.5983|14.9368|220.3|SURVEY-INGV||||ML|2.8|--|Isole Eolie (Messina)
7071131|2016-08-23T11:42:07.210000|44.4768|9.9438|15.3|SURVEY-INGV||||ML|2.3|--|Parma
7072751|2016-08-23T18:48:19.080000|43.0593|12.9883|10.2|SURVEY-INGV||||ML|2.0|--|Macerata
7073331|2016-08-23T23:14:07.390000|41.9607|16.1932|28.8|SURVEY-INGV||||ML|2.7|--|Costa Garganica (Foggia)
7073531|2016-08-24T00:51:41.260000|38.6893|13.8423|4.0|SURVEY-INGV||||ML|2.8|--|Tirreno Meridionale (MARE)
7073641|2016-08-24T01:36:32.000000|42.6983|13.2335|8.1|BULLETIN-INGV||||Mw|6.0|--|Rieti
7073711|2016-08-24T01:37:26.580000|42.7123|13.2533|9.0|BULLETIN-INGV||||ML|4.5|--|Rieti
